,Identifier,Apoptosis,Date,Culture,Patient,gd_donor,Treatment,Replicate
288,20230201_PDOgd_141_E_B7C18_B,33.98283995,20230201,PDOgd,141,E,B7C18,B
289,20230201_PDOgd_141_E_B7C18_C,20.46899578,20230201,PDOgd,141,E,B7C18,C
296,20220926_PDOgd_216_7_BM_A,20.24992168,20220926,PDOgd,216,7,BM,A
297,20220926_PDOgd_216_7_BM_B,25.24072537,20220926,PDOgd,216,7,BM,B
298,20220926_PDOgd_216_7_BM_C,25.77082919,20220926,PDOgd,216,7,BM,C
299,20220926_PDOgd_216_7_B7C18_A,38.32309699,20220926,PDOgd,216,7,B7C18,A
300,20220926_PDOgd_216_7_B7C18_B,34.30644042,20220926,PDOgd,216,7,B7C18,B
301,20220926_PDOgd_216_7_B7C18_C,38.07341311,20220926,PDOgd,216,7,B7C18,C
302,20220926_PDOgd_216_A_BM_A,20.72929409,20220926,PDOgd,216,A,BM,A
303,20220926_PDOgd_216_A_BM_B,35.44343993,20220926,PDOgd,216,A,BM,B
304,20220926_PDOgd_216_A_BM_C,31.63727186,20220926,PDOgd,216,A,BM,C
305,20220926_PDOgd_216_A_B7C18_A,52.17830692,20220926,PDOgd,216,A,B7C18,A
306,20220926_PDOgd_216_A_B7C18_B,44.57755181,20220926,PDOgd,216,A,B7C18,B
307,20220926_PDOgd_216_A_B7C18_C,49.99019533,20220926,PDOgd,216,A,B7C18,C
308,20220926_PDOgd_216_B_BM_A,27.74404981,20220926,PDOgd,216,B,BM,A
309,20220926_PDOgd_216_B_BM_B,24.85802186,20220926,PDOgd,216,B,BM,B
310,20220926_PDOgd_216_B_BM_C,22.95092871,20220926,PDOgd,216,B,BM,C
311,20220926_PDOgd_216_B_B7C18_A,38.47865567,20220926,PDOgd,216,B,B7C18,A
312,20220926_PDOgd_216_B_B7C18_B,38.65863756,20220926,PDOgd,216,B,B7C18,B
313,20220926_PDOgd_216_B_B7C18_C,33.42824306,20220926,PDOgd,216,B,B7C18,C
314,20220926_PDOgd_216_E_BM_A,39.83982557,20220926,PDOgd,216,E,BM,A
315,20220926_PDOgd_216_E_BM_B,36.9852827,20220926,PDOgd,216,E,BM,B
316,20220926_PDOgd_216_E_BM_C,33.37320661,20220926,PDOgd,216,E,BM,C
317,20220926_PDOgd_216_E_B7C18_A,42.34192606,20220926,PDOgd,216,E,B7C18,A
318,20220926_PDOgd_216_E_B7C18_B,46.42451211,20220926,PDOgd,216,E,B7C18,B
319,20220926_PDOgd_216_E_B7C18_C,47.58505502,20220926,PDOgd,216,E,B7C18,C
